Consumer_complaint,Product,Sentiment,Priority
"My credit rating has been decreases due to delinquent payment. My credit rating was XXXX which was last year. My credit rating is XXXX now. I am in big trouble of buying a house. I need to close my escrow within 12 days from today. Per telephone conversation with the XXXX agency, my credit will go up in a week if I paid in full. I was able to pay XXXX dollars and try to save credit with the other Collection agency called XXXX on XX/XX/XXXX. I called AES which was my original student loan agency to explain my situation. I was told to wait 7 to 10 business days. I can not wait for them to investigate. My student loan was paperless and it was automatically deducted from the banking account there is no reason to have default payment on my record. There should be special circumstances for people like me to prevent lowering the credit rating for XXXX dollars. Now the XXXX dollars will turn to additional XXXX dollars per month with the sub primer mortage. Please help me to increase my credit rating so that I do not have to pay additional cost for the home loan or home loan rejection. Which means I may lose  my Honest money deposit.",Loans,1,1
"Consolidated my loans, ALL of them but they excluded one which they claim was not included but have repeatedly ask them to review as I believe it was included. While I was current on my consolidated payments when these problems began, they continued to contact 3rd parties - did not verify who they were talking to.. one 3rd party said he was me and they discussed the loan in detail with that 3rd party who then forwarded that information to me.

Served them with a Cease & Desist which is ON FILE on my account. As soon as they received it, my Account rep started calling me and leaving me voice mails saying they didn't receive any letter from me, but I had not contacted them period or communicated that to them in any other fashion.

They continue to contact 3rd parties, harass. 
here is the verbiage of the letter that I have sent them : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, TN. XXXX Navient XXXX XXXX   XXXX XXXX, PA XXXX XX/XX/XXXX CEASE & DESIST Under my federally protected rights that include the Consumer Financial Protection Act of XXXX ( CFPA ), 12 U.S.C. 5531, 5536 ( a ), 5564, 5565 ; the Fair Credit Reporting Act ( FCRA ), 15 U.S.C. 1681 et seq., and its implementing regulation, Regulation V, 12 C.F.R. part 1022 ; and the Fair Debt Collection Practices Act ( FDCPA ), 15 U.S.C. 1692, in addition to my rights under the Telephone Consumer Protection Act 47 U.S.C. 227.

I hereby officially notify your agency to CEASE & DESIST with ALL CALLS to ANY AND ALL PARTIES not specifically authorized by me in writing and may only utilize my email, account inbox and/or US MAIL to communicate any concern in writing.

You may REASONABLY communicate with me in WRITING only! 
I am aware of the numerous CLASS ACTIONS against your organization I will be joining those actions, or filing my own action and/or complaints with appropriate agencies. 
This will additionally show yet another attempt at mitigating the damages for the above cited concerns. 
Sincerely, XXXX XXXX XXXX",Loans,0,1
"I was unemployed in 2012 and filed for deferment of my federal and private loans and completed all paperwork as requested. XXXX XXXX XXXX properly deferred my federal loans but did not apply the deferment to my private loan and did not inform me that the private loan was not deferred. Due to this they defaulted my private loan, despite me completed all of the required paperwork. I was never informed that this could not apply to my private loan. This situation has caused me much financial hardship since and has been a very large burden to deal with, despite being employed now. I am demanding that XXXX XXXX XXXX, XXXX XXXX XXXX and or whatever collection company is involved, restore my private loan back to a current status, as well as restore my past credit history to reflect my loan not having entered a default status, being that it was due to the negligence of XXXX XXXX XXXX that my loan defaulted and not any fault of my own. I have made multiple attempts to try and get this situation resolved ; however, I have not received any correspondence addressed to me despite the fact that I have attempted to reach out multiple times to all parties involved and XXXX XXXX XXXX always being aware of my new address. I am requesting an immediate restoral of mine and my co-signer 's credit to a positive credit reporting, as well as an opportunity to resume reasonable payments to my account as long as it is not made in a negative status. If this matter is not corrected in an appropriate and ethical manner, I have already seeked out an attorney and will proceed to pursue this matter legally.",Loans,0,1
I have a student loan that is reporting incorrectly. I have notified the company but they have not corrected it. They are reporting that I was 90 days late when it fact my loan has been in deferment for the past 2years.,Loans,1,1
"XX/XX/18 my daughter transferred {$450.00} through XXXX for purchase of tickets. She did not receive the transfer as promised through XXXX. I received a notice from XXXX XXXX that the transaction took place along with a phone number to call XXXX XXXX if there were any questions. I called XXXX immediately ( within 5 minutes after the transfer ) and they said there was nothing they could do to help with this fraud. Upon contacting XXXX they said it states on their website not to send money to anyone other than family and friends. I thought I was sending money to a friend. They will not refund money. 

Proof of product for sale and conversation with seller attached.","Money transfer, virtual currency, or money service",1,1
"Goldman Sachs failed to conduct fair and accurate oversight when they trained XXXX XXXX XXXX and also helped him to get licensing as a banker. 

XXXX XXXX speaks about Goldman Sachs as his source of training. He claims the company is pure evil. He cites his time working under XXXX and he openly discusses XXXX 's dealing with his clients. 

XXXX XXXX is a known abuser of women. 

She should have disclosed to me that XXXX XXXX XXXX physically beat his wife and his ex-wife XXXX XXXX and children. 

I have the documents to prove this and they are attached to this complaint.","Money transfer, virtual currency, or money service",1,1
"Money was sent to trustworthy individual via PayPal from funds in my bank account for a collectible pocket knife ( aka legal acceptable item according to PayPal and USG ) funds were withdrawn by PayPal immediately however received this message : Transaction Details Error Message Regulations require us to take a closer look at some transactions. Your payment is temporarily pending while we review it. 



Payment Sent ( Unique Transaction ID # XXXX ) Original Transaction Date Type Status Details Amount XXXX XXXX, XXXX Payment For XXXX XXXX XXXX Pending ... - {$500.00} USD Related Transaction Date Type Status Details Amount XXXX XXXX, XXXX Add Funds from a Bank Account CompletedYour transfer from your bank account to your PayPal account  is complete.Your transfer from your bank account to your PayPal account is complete. Details {$500.00} USD Business Name : XXXX XXXX XXXX XXXX The recipient of this payment is Verified ) Email : XXXXXXXXXXXX Payment sent to : XXXXXXXXXXXX Payment amount : ( in currency funded ) - {$500.00} USD Your fees : {$0.00} USD Your total charge : - {$500.00} USD Payment amount : - {$500.00} USD XXXX XXXX XXXX 's fees : {$0.00} USD XXXX XXXX XXXX receives : {$500.00} USD Note : The fees for this transaction are estimated, the actual amounts may be different after your recipient accepts the payment Date : XXXX XXXX, XXXX Time : XXXX PST Status : Pending Funds will be available to your recipient on or before : Our regulatory review may affect the date your money becomes available. 

Subject : You have sent {$500.00} USD to XXXX XXXX XXXX with PayPal Note : XXXX XXXX Funding Type : Instant Transfer Funding Source : {$500.00} USD XXXX XXXX XXXX XXXX XXXX XXXX ( Confirmed ) XXXX Back Up Funding Source : XXXX Credit Card XXXX The option to cancel this payment is no longer available. 

If you are n't satisfied with the service that PayPal 's provided you, you can contact these agencies : Consumer Financial Protection Bureau XXXX or XXXX ( TTY/TDD ) XXXX PayPal is withholding funds from my friend XXXX XXXX for no reason and has no means of being contacted. This is unacceptable. Thanks for your help.","Money transfer, virtual currency, or money service",1,1
"On XXXX/XXXX/2025 I send money thru western union ( online ) to recipient in XXXX XXXX XXXX, XXXX. I received SMS & email confirmation that money went thru and available to recipient on XXXX XXXX. But to this moment as i write nobody knows where the money is in XXXX or here! The MTCN XXXX also confirmed money is available but recipient was told by XXXX. in XXXX that there is no money!! I am sick & tired of this! It is indication of incompetence & very poor service! 

Thank You, XXXX","Money transfer, virtual currency, or money service",0,1
"Coinbase, a bitcoin exchange, charged my card 5 times for a total of {$410.00}. These were unauthorized transactions that happened over a month ago. Every time i reach out to them they said they can not issue a refund and dont know where my money went. Ive contacted them over and over again.","Money transfer, virtual currency, or money service",1,1
XXXX XXXX receive the funds I didn't send to XXXX I sent to XXXX XXXX,"Money transfer, virtual currency, or money service",1,1
"Google Wallet wo n't transfer my balance ( {$1400.00} ) to my bank account, despite multiple verifications and transfer request forms. They claim to have suspended my account due to terms of service issues, but will have to at least release my funds, wo n't they? Multiple attempts to resolve it with customer service lead nowhere, each thread gives new and conflicting information. Telephone and chat service are disabled. Online research reveals that numerous people are in a similar situation which is surprising given Google 's otherwise great reputation.","Money transfer, virtual currency, or money service",1,1
"I purchased Lite Coins for XXXX $ from Coinbase on XX/XX/2018, and since I maintain a XXXX credit card balance, I immediately paid off my credit card balance. The company appeared to have some glitch due to which they reversed or attempted to reverse recent transactions. But since my credit card was at XXXX balace their XXXX $ reversal did not go through. They did not realize this and in trying to rectify their error, they charged my card XXXX . I tried to work with their customer service for several months with no result. Eventually, in the month of XX/XX/XXXX, I disputed the amount with my CC company and they validated my disputed and cleared it for me. What Coinbase did now was they cancelled the purchase of my Lite Coins on XX/XX/2018 and took them away which is so wrong. I have been trying to reach their customer service, facebook, twitter but no luck anywhere. They just do not respond. I am so tired of their extremely poor customer service and just want my coins back and I hope to get help from here. Thank you very much!","Money transfer, virtual currency, or money service",0,1
"Tried setting up a gemini wallet, was automatically blocked due to my bank not allowing me to go external. I want to set up this digital wallet.","Money transfer, virtual currency, or money service",1,1
"My son XXXX XXXX is trying to secure a place to rent in XXXX, XXXX. He found a place on XXXX XXXX in XXXX, and contacted the owner of the property, XXXX XXXX, via e-mail. An agreement was made over the phone, as XXXX XXXX represented himself as the owner, but was in XXXX on business. The XXXX of them made an agreement that XXXX would send the security deposit of {$600.00} and that once he moved in he would pay the XXXX months rent. The agreement was that the lease was to be sent to XXXX to sign and return to XXXX XXXX, by his secretary XXXX XXXX. XXXX XXXX was also the one who was going to pick up the deposit of {$600.00} in XXXX. sOnce the security deposit of {$600.00} was received, XXXX XXXX would have his secretary XXXX XXXX, send the keys to the place to XXXX via XXXX and she would forward that tracking number to XXXX. The security deposit was sent on XXXX/XXXX/15 via MoneyGram in the amt of {$600.00}. Today, XXXX, XXXX XXXX notified XXXX that he had "" his plumber '' go to the house to check on everything so that it would be ready for XXXX to move into. Per XXXX XXXX, the plumber found pipes leaking in the wall and now XXXX XXXX is asking for another {$1200.00} to be sent to him to help cover the cost of the repairs. My son does have a copy of the lease, which states that the deposit would be {$600.00} and outlined that the rent was $ XXXX. with all utilities included. I possess the receipt for the security deposit of {$600.00}. In the original e-mail correspondence between XXXX and XXXX XXXX, XXXX XXXX indicated that he is a new landlord and that he had the keys to the property. Now today, he states that a "" plumber '' has keys to get into the property. If this plumber truly had a key, why did XXXX XXXX not offer for XXXX to meet the plumber at the house to do a walk through, before we sent the {$600.00}. XXXX has corresponded back to XXXX XXXX today, the XXXX, and asked him why he did n't offer for the plumber to meet XXXX there, if someone local had a key. He has not received a reply as of this time at XXXX XXXX/XXXX/15. XXXX XXXX also stated that "" He 's been busy today and has n't had a chance to XXXX the key yet ''. This sounds like a total scam, I 'm hoping not, but it 's starting to smell very fishy. I hope you can offer some advice of assistance in this matter.","Money transfer, virtual currency, or money service",1,0
"Hello, I am getting in touch because I have received an unauthorized charge from Coinbase on the card I use to buy digital currency. This is the second time I have received such a charge ( the first time I worked through my credit card company and promptly received a refund ). 

For two weeks now I have attempted to work with Coinbase to identify the issue. Further, since I raised the issue to Coinbase they have locked my account ( I am unable to buy and sell digital currency ), presumably out of a concern about fraud.
Coinbase 's website indicates that their representatives respond within a day in cases of fraud, however I have been waiting two weeks for resolution. In the meantime the unauthorized charges in the attachment I have posted below are still on my card. Thanks so much for your help. 

1 ) XX/XX/XXXX : {$1500.00} - Legitimate charge 2 ) XX/XX/XXXX : {$950.00} - Legitimate charge 3 ) XX/XX/XXXX : XXXX : UNAUTHORIZED CHARGE - I did not make this charge and did not receive any email documentation from coinbase regarding this charge. 

4 ) XX/XX/XXXX : Refund from my credit card for an unauthorized charge. 

5 ) XX/XX/XXXX : UNAUTHORIZED CHARGE - this is the same situation as Charge 3 above - I did not make this charge and did not receive any emails from coinbase about it ; it simply appeared on my credit card statement.","Money transfer, virtual currency, or money service",1,0
"I sold an item on XXXX and shipped it to XXXX using XXXX. The tracking number indicates that the item is located in the XXXX XXXX XXXX XXXX XXXX. I have documentation of the delivery and documentation from the buyer that he is refusing delivery to his residence. The item is at this address. Office Address : XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX XXXX ( XXXX XXXX ), XXXX XXXX, XXXX - XXXX XXXX Telephone Number. : + ( XXXX ) ( XXXX ) XXXX, XXXX Email : XXXXXXXXXXXX","Money transfer, virtual currency, or money service",1,1
"On XX/XX/2018, i deposited {$500.00} into my paypal account, which they immediately put a hold on and would not allow me to transfer to my card or bank account which is suppose to be instant. On XX/XX/2018, they released my account, allowed me to transfer {$30.00} to my card, and immediately put a hold on the other {$470.00} for no reason. When contacting the company they had said there was no risk to my account, but they couldnt do anything about the security check. After, when contacting them, they pretend they can not hear me, and hang up. Or, when calling me back, will only let the phone ring once, then hang up so i cant answer, and just end up with a missed call. They never disclosed that i would have my money held, until after i had already transferred it. From my understanding, they have been doing this to every body, and refuse to give anyone answers. I believe they are holding it to invest it for the amount of time they are holding it, before they release it, without consent of the customers. I had a car payment, and rent due, that is now late, because they are holding my money. I can lose my car and will effect my credit score, not to mention possibly get me evicted from my place because i have not been able to pay the weekly rent.","Money transfer, virtual currency, or money service",0,1
"Im a regular customer of WesternUnion. On XX/XX/2018 I sent two separate transactions overseas. The reasons I did two transactions was the auto fill from previous transactions. 

I sent {$70.00} and then {$30.00} to the same person. However, WesternUnion cancelled the transaction for the {$70.00} and the {$30.00} available.

I wasnt notified by WesternUnion that they canceled the transaction. I didnt know whats going until the receiver went to WesternUnion XX/XX/XXXX after going for consecutive days. WesternUnion overseas told I took the money back. On XX/XX/2018 I called WesternUnion and was told by two different representatives that they cant access the transfer, but I should call back in 15-20 minutes two times. Finally, I was told that they canceled my transaction because I sent separate transactions. Nobody seems to know whats the real problem. I called back WesternUnion representative again and asked if I send another transaction on XX/XX/XXXX if the person would be able to get the money. I was reassured by the representative yes. I was taken aback when WesternUnion again canceled-suspended the transaction again. I had to asked for a refund. 
After numerous calls I called back XX/XX/XXXX and asked for the department that placed restrictions on my transactions and was give this email XXXX for help. I sent an email and I havent received an email or phone call from WesternUnion about this inconvenience. I must say this situation was handled unprofessional and without regards or thoughtfulness of all party involved. Im very disappointed with WesternUnion.","Money transfer, virtual currency, or money service",0,1
"In summary, I have made a EUR withdrawal from Coinbase to an Irish bank account on XX/XX/XXXX and another withdrawal on XX/XX/XXXX. As at XX/XX/XXXX nothing has been received yet despite the transactions have a status of 'completed ' on Coinbase. 

On XX/XX/XXXX at XXXX GMT, I initiated a withdrawal of XXXX ( + XXXX banking fee ) from my Coinbase.com EUR Wallet. I was emailed by Coinbase stating that XXXX will arrive in my bank account by XX/XX/XXXX. The withdrawal reference is XXXX. 

On XX/XX/XXXX at XXXX GMT, I initiated a withdrawal of XXXX ( + XXXX banking fee ) from my EUR Wallet. I was emailed by Coinbase stating that XXXX will arrive in your bank account by XX/XX/XXXX. The withdrawal reference is XXXX. 

I have submitted two support tickets with all relevant details and screenshots. The case numbers are # XXXX and # XXXX. I have not received any direct response other than automated emails from Coinbase listing generic FAQ and support links. Please see their responses to date below. 

XXXX XX/XX/XXXX Hello there, I hope this email will finds you well. 

First of all I would like to express my profound gratitude for the patience of allowing us to work with you. I personally want to inform you that it is to our utmost desire to deliver service to you the most splendid way we could because you are the true source of our business. 

I apologize for the delay in responding to your email and for all the trouble. As we experience rapid growth, we are also experiencing a high volume of support requests and are trying to get through them as fast as we can. 

My name is XXXX from Coinbase Customer Service and this is email is aimed to address your XXXX transfer / Verification concerns, in case this does not answer your any of your concerns, please email back and if possible provide screenshots or mention any relevant information that can help us better understand your concern. 

If you are emailing us regarding XXXX verification issue, here are the steps to initiate a XXXX deposit are as follows : 1. Select Accounts on the left side of the page 2. Select EUR Wallet 2. Select the Deposit button at the top-right 4. Use the information displayed to initiate a XXXX transfer in euros from your bank account. It is important to include the Reference Number to ensure that your deposit is correctly associated with your Coinbase account. XXXX customers will need to make an International XXXX transfer, otherwise the XXXX number will be invalid as incorrect in length. 
5. Please only send deposits denominated in EUR. 

Your funds will appear in your account 1-3 business days after you send them. 

Please note : - Your total EUR Wallet balance can not exceed XXXX. Any excess funds will be sent back. 
- For your deposit to complete you need to verify an id and phone number in your Coinbase account. 
After the deposit has cleared ( usually about two business days ),  you are free to use your euros to make a purchase from the Buys page on Coinbase. 

In the event that you were able to complete the XXXX Payment Method verification and have tried doing XXXX transfer, this are the steps you might missed thats why your XXXX deposit was not credited. 

1. ID Verification not completed 2. XXXX is not yet added as your Payment Method 3. Ensure sender account name matches Coinbase account name 4. Ensure currency being sent is in Euros 5. Ensure Euro Wallet reference code ( XXXX XXXX XXXX ) is included in sending deposit Please confirm if your funds were not credited nor reversed, also if your deposit was credited on your account but your XXXX  payment method was not verified just reply to this email so I can manually check it on my end. 

For future reference you can visit https : //support.coinbase.com/ for more information. 
Were dedicated in delivering exceptional service to our customers and we are pleased doing business with you as one of our valued customer. 

Your experience is our out most priority to us so please do not hesitate to reply on this email if you need further assistance. 

For future reference you can visit https : //support.coinbase.com/ for more information. 

Thank you for using Coinbase. 

Regards, XXXX Coinbase Support ===================== XX/XX/XXXX Hi there, Thanks for reaching out. Having investigated the issue, I am working with a specialist to address it properly. We will follow-up with you as soon as we have an update. 

Thank you for your patience. 

===================== XX/XX/XXXX Thank you for submitting your request. Due to increased volume it may take several days to receive a response. 

Check out the following support articles to get your issue resolved more quickly. 

Account access and verification : Phone, XXXX XXXX, or Authy issues Tips to complete photo ID verification I want to change my country or state Raise my account limits Buying and selling : Verifying a credit or debit card How do I withdraw money to my bank account? 
How long does a buy take? 
Digital currencies : Pending digital currency transactions Where is my wallet address? 


Thanks in advance for your patience and support. 

XXXX XX/XX/XXXX Hello there, Thank you for bringing this up to us and I am so sorry for all the trouble that this has caused you. 

Please be advised that transfer may complete 1-2 business days. 

Make sure that the reference code is included, if by some cases that the reference code was not included. Please be advised that funds might not reach your wallet and the funds will be reversed after 3 business days. 

If after 3 business days the funds did not reflected on your Coinbase account or reversed please reply on this email and provide the complete transaction details together with the reference code. 

A screenshot of the transaction is greatly appreciated. Thank you. 

Your experience is our out most priority to us so please do not hesitate to reply on this email if you need further assistance. 

Should you have any concern, feel free to reach us anytime. We love to hear from you soon. 

You may also visit https : //support.coinbase.com/ for more information. 

Thank you for choosing Coinbase. 

Best, XXXX Coinbase support =====================","Money transfer, virtual currency, or money service",1,0
"On Saturday XX/XX/XXXX I attempted to purchase digital gift cards from PayPal using my PayPal account balance. I attempted to purchase several gift card sets and received the following error message : "" Sorry, we can't complete this purchase at this time. Please return to merchant and choose another way to pay. '' It took three emails and two phone conversations to determine that PayPal is arbitrarily blocking my payments and won't provide any insight as to why or how to remedy the situation. I can only describe this level of service as terrible. PayPal can not provide any insight in to why the transactions are being blocked. They offer no remedy or potential solution other than to try again in 2 hours or 24 hours and it might work but there is no guarantee that it will work within that time frame ( or ever ).","Money transfer, virtual currency, or money service",0,1
"On XXXX XXXX, 2016, I received an email from Google that my Wallet account had been suspended and ultimately closed for "" suspicious activity ''. I tried on numerous on numerous occassions to find out what activity Google was referring to because I had no used the Wallet accont for a money transfer since XXXX XXXX, 2016. I hit brick wall after brick wall because I was constantly told referred to the Terms of Service which state that Google can close any account at anytime for any reason without notice. I find that to be awfully unfair since I have an Android phone, and I can no longer make any purchases through the Google Play store by billing it to my XXXX XXXX XXXX wireless account. This creates an unnecessary burden on me. It would seem that this violates the FCRA and Title! 2 of the UCC. Communication with the group that makes these decisions is nearly impossible because is only through email. This is hardly satisfying.","Money transfer, virtual currency, or money service",1,1
"XX/XX/XXXX   : purchased virtual currency.   XX/XX/XXXX  : s old the purchased currency for a profit.
   XX/XX/XXXX    : The company, Coinbase, locked my account so i could not access my money, or perform further transactions.
  XX/XX/XXXX -T oday : almost daily emails,  XXXX , messages, service requests to either unlock my account, or return the cash to my bank.
Today : account still locked.
They have basically taken my money and kept it to themselves.","Money transfer, virtual currency, or money service",1,1
"I am trying to close my PayPal account associated with email XXXX. 
When I submitted complaint XXXX PayPal responded that I have an outstanding balance of {$380.00}. 

However, when reviewing my account balance there is no evidence available to me that demonstrates I have an outstanding balance of {$380.00}. PayPal may prove with an itemized account statement the outstanding balance PayPal is referring to. 

When trying to review transactions these are not available, please review enclosed video. There is no evidence that I owe money to PayPal. 

I also request that PayPal to provide a toll free number for calling PayPal customer service outside the United States. 

Thank you, XXXX XXXX","Money transfer, virtual currency, or money service",1,1
"On XX/XX/XXXX, I made an international wire transfer from my bank account with citi bank to XXXX. two days later I was informed that the funds was returned by the bank and that I will need to do buy back and then the funds will be returned to my account in three business days. Its been a month and two weeks since then I have not received my funds. I have called Citi bank and even went into my branch and repeatedly having to explain my self to every new person I talk! they give conflecting information. at one piont I was told my fund will be returned the following day after speaking to a bank manager, but that again was two weeks ago. I dont know what is going on or what they are doing with my funds.","Money transfer, virtual currency, or money service",1,1
"My complaint is against Coinbase. 
I made a Bitcoin purchase on XX/XX/ XXXX reference code XXXX for {$1400.00} USD @ {$11000.00} per Bitcoin. The transaction has NOT been added to my BTC account on Coinbase. The {$1400.00} has been taken out of my bank account at XXXX XXXX XXXX XXXX on XX/XX/. My first attempt with the Coinbase help center was sent on XX/XX/ with no response Case # XXXX. I have since called 3 times, mailed letters, the only response I have received is that my case has been elevated to "" urgent ''.","Money transfer, virtual currency, or money service",1,1
"On XX/XX/XXXX I had made 2 payments to a receiver the first one for {$970.00} and the second one for {$110.00}. The second payment went through fine but the receiver said that the first one was listed as unauthorized and that they couldnt access the funds. I was then received an email from Paypal stating that I reported my payment as unauthorized and that I set up a dispute caseit even stated that I made a comment about it being a spoof claim. I did none of these things. And because a dispute case ID was created in error, I had no access to my funds. That payment was due the day that I sent it. I am already in financial trouble now, and I only have a few days left of my semi grace period that was so kindly extended. I called so many times, I talked to 14 people total was transferred a total of 9 times and was on hold for a total of 7 hours. Every single representative said that I needed to talk to someone else and every single time I was transferred not a single person picked up. And I was calling internationally so it cost me a fortune to wait for nothing. I emailed multiple times, and tried different departments. On XX/XX/XXXX my account activity said that my {$970.00} was transferred from bank and that the transfer was completed. It did not say where to and it said that it was transferred from my paypal balanceI did not have any money in my paypal balance. That money was supposed to be correctly refunded back to my debit card that I used, and the funds would have been accessible within the day. Instead, there was no communication, and I have no idea where my money it. It is not in my account, and my bank looked into it and said there isnt even any sign of a refund pending and they have even started a claim. I need that money immediately, I am now in financial trouble due to an error from Paypal and they are ignoring my concerns and not helping me. They can not hold my money like that for no reason and not communicate with me to tell me where it is and why I do not yet have it. I feel as though I am being scammed. I need that money returned asap. I have even contacted their executive office and no one will respond to me. It is illegal to hold someones for no reason and without communication. This is an emergency for me.","Money transfer, virtual currency, or money service",0,1
"I went to a check cashing store and they charged me almost {$30.00} to cash my XXXX check that is worth over XXXX.. by law they 're not allowed to charge me more than {$3.00}. The company this took place at was, The Check Cashing Place, Inc Store # XXXX XXXX XXXX XXXX XXXX # XXXX in XXXX XXXX, California. The company ripped me off and I should be reimbursed {$25.00} since they overcharged me. This store is n't the only place where they charge people more than what 's required by law. Please help me resolve this issue. Thank you.","Money transfer, virtual currency, or money service",1,1
"On XXXX XXXX XXXX I was notified that my Wire transfer of {$2000.00} was NOT returned to my bank because the name on my business did not match my name EXACTLY on my coinbase account. It is now XXXX XXXX XXXX and MY FUNDS HAVE NOT BEEN RETURNED YET! Coinbase emailed me and stated that it would be returned in the 7 days after the XX/XX/XXXX It is frustrating enough that I was n't able to add the funds to my account but to not refund me the {$2000.00} within the 7 days is completely unacceptable. I have attempted MANY times to get in contact with someone about this issue but have only been met with automated phone services and emails. I have contacted your bank for Coinbase as well as the XXXX XXXX XXXX XXXX XXXX ( wire department ), and made them aware of the situation. I have also completed all the steps that the previous email from Coinbase support has requested me to do and all that the system will allow me to do.","Money transfer, virtual currency, or money service",0,1
"I like to start by stating my complaint is with the company Coinbase, which is a bitcoin wallet. On XX/XX/XXXX at approximately XXXX XXXX  after having to replace my phone device I attempted to sign onto my Coinbase account. I was able to enter my user name and password correctly but as a secondary precaution Coinbase also requires the use of an authenticator code. However, with the replacement of my phone I lost access to my authenticator app. Not having the required authenticator code there is an option from Coinbase to submit a license and selfie to gain access to my account. I have attempted to gain access using my photo and ID over 11 times with a denial every time. I reached out to Coinbase on XX/XX/XXXX via phone and was told to keep trying that there was nothing else they could do. I reached out again on XX/XX/XXXX where I was told they were investigating the issue and working with a specialist to address it properly. I continued to attempt access using my License and photo with no luck. With no response I reached out again on XX/XX/XXXX, where I was told for a faster response to not continue to contact them and that my request has been properly escalated. As of XX/XX/XXXX I still have not heard from Coinbase regarding this matter. As of the last time that i had access to my Coinbase account I had roughly {$11000.00} vested. With not having access I have not been able to withdraw my money while watching the Cryptocurrency ascend and descend. This has been a very stressful journey.","Money transfer, virtual currency, or money service",0,1
"XX/XX/2018 I sold a XXXX through XXXX XXXX XXXX here in the XXXX XXXX IA. XXXX   XXXX  Check  is through Great Western Bank here in XXXX XXXX IA. He mailed my check to me and I went to Great Western Bank XXXX XXXX XXXX XXXX, XXXX XXXX, IA XXXX phone # ( XXXX ) XXXX and was told I need to pay a {$5.00} check cashing fee due to I am not a member of their bank. I refuse to let them blatantly steel my money. The check a issued by their bank and I will not pay the fee. I went and talked to the Branch Manger XXXX XXXX and she attempted to lie to me that all financial institutions charge this fee. I told her I will go file a complaint with the Feds and she told me to go ahead. I went to one of my banks and ask them if the same scenario a would happen, would the person be charged and my bank said no. Great Western Bank is a lier and thief. My complaint is filed.","Money transfer, virtual currency, or money service",0,1
"I made money transfer from my Bank Of America account using XXXX to a person using their phone number who claimed to be a travel agent. I made 3 transfers, 2 on XX/XX/XXXX for amounts of {$1100.00} and {$600.00}, and third on XX/XX/XXXX for {$500.00}, totaling {$2200.00} for 2 flight tickets. After the money was transferred, the person was unreachable on phone but was active on text messages and that my flight booking was in progress. He also sent me couple of temporary booking on airlines for the flights requested, and one including his credit card payment of a small nominal fee to HOLD the reservation for 3 days before confirming. Since then, there have been only email exchanges and reservation was never made. After I made my own reservation, email thread started in regards of returning my money but that has not happened till date either. I filed a complaint with my bank and they went to the extent to tell me the recipient has a "" US Bank '' account where the money was transferred but can not file a fraud or refund the money since it was initiated via XXXX by me. 

I ended up paying {$600.00} more for the same tickets ( since the price went up in the time being ) and never got my original  {$2200.00} back.","Money transfer, virtual currency, or money service",1,1
"At XXXX XXXX CST on XX/XX/XXXX, I transferred approximately a sum of the cryptocurrency Litecoin worth {$2600.00} and received an email from Coinbase confirming that my transfer had been received and was being confirmed. At XXXX XXXX, I received another email notifying me that said transfer had been confirmed and that the funds were being transferred to their exchange, XXXX. According to the XXXX website, "" Transfers between your Coinbase wallets and XXXX  account are instant and free '' ( XXXX XXXX XXXX ). In the six days which have passed since I received this email, however, I have yet to receive any funds in my XXXX account, where my Litecoin balance still reads XXXX. 

On the morning of XX/XX/XXXX, I opened a support ticket with the company. Within the hour, I received two automated emails which contained links to the company 's FAQ pages. The second of the two automated email directed me to respond if my problem had not yet been solved, so I sent a response at XXXX XXXX on XX/XX/XXXX which stated that my Litecoin was still missing. I sent another response at XXXX XXXX on XX/XX/XXXX in which I restated my concern for my missing funds and provided more information. I have yet to receive any emails which address my specific issue or which were written by a human being.","Money transfer, virtual currency, or money service",1,1
"XXXX XXXX and Webster bank. Several problems : 1. Requested through another bank to transfer funds out. It's been 20 days and despite several promises, nothing. Very long transaction just to make a transfer. 
2. Even with the long wait to transfer, they were able to send a check for the wrong amount and for benefit of the wrong person but under my account number. The gaining bank called me and was very confused. An hour on the phone corrected it!

3. As a veteran when seeking VA medical care, the bank can't deposit funds employer contributions to my account. That changed on XX/XX/2016, under the Veterans Health Care Choice Improvement act. Did XXXX XXXX change their continued policy of not depositing those funds? Nope. 

This bank is the worst financial institution I have dealt with. Very poor and customer service is non-existent even after making several calls to the bank with their promises to fix!","Money transfer, virtual currency, or money service",0,0
On multiple times I tried to transfer USD funds from my Kraken account to my bank account. For two weeks XXXX is claiming that it is possible while it is not. Furthermore today I tried to transfer ZEC funds to a different account. This was taking a long time so I cancelled the transaction. The funds from cancelled transaction were never returned to me.,"Money transfer, virtual currency, or money service",1,1
"I bought my item on the phone through paypal, told me he will deliver it next day. Next day comes tries to get more money out of me.","Money transfer, virtual currency, or money service",1,1
